"airport","domestic","international","total","year","airport_clean","province","international_share","lat","lon","pop_total","passenger_per_1000"
"İstanbul Atatürk",0,0,0,2025,"ISTANBUL ATATURK","ISTANBUL",NA,40.9769,28.8146,15754053,0
"İstanbul (*)",17876581,66637356,84513937,2025,"ISTANBUL","ISTANBUL",0.788477715811535,41.2753,28.752,15754053,5364.58376774535
"İstanbul Sabiha Gökçen (*)",21193145,27214173,48407318,2025,"ISTANBUL SABIHA GOKCEN","ISTANBUL",0.562191299257687,40.8986,29.3092,15754053,3072.68980242735
"Ankara Esenboğa",10318983,3607697,13926680,2025,"ANKARA ESENBOGA","ANKARA",0.259049321159099,40.1281,32.9951,5910320,2356.33265203915
"İzmir Adnan Menderes",7584560,5081100,12665660,2025,"IZMIR ADNAN MENDERES","IZMIR",0.401171356249891,38.2924,27.157,4504185,2811.9759734558
"Antalya",6848287,32151890,39000177,2025,"ANTALYA","ANTALYA",0.824403694372977,36.8987,30.8005,2777677,14040.5731119925
"Gazipaşa Alanya (*)",430817,561566,992383,2025,"GAZIPASA ALANYA","ANTALYA",0.56587627962188,36.2993,32.3014,2777677,357.27084178614
"Muğla Dalaman",1949913,3627229,5577142,2025,"MUGLA DALAMAN","MUGLA",0.650374152209142,36.7131,28.7925,1099547,5072.21792247171
"Muğla Milas-Bodrum",2540757,1817145,4357902,2025,"MUGLA MILAS-BODRUM","MUGLA",0.4169770224296,37.2506,27.6643,1099547,3963.36127514331
"Adana",0,0,0,2025,"ADANA","ADANA",NA,36.9822,35.2804,2283609,0
"Çukurova (*)",4143871,1290199,5434070,2025,"CUKUROVA","MERSIN",0.237427747526256,36.8981,35.0683,1956428,2777.54663090081
"Trabzon",3029171,845469,3874640,2025,"TRABZON","TRABZON",0.218205820411703,40.9951,39.7897,823323,4706.09955023727
"Erzurum",1253276,14836,1268112,2025,"ERZURUM","ERZURUM",0.0116992820823397,39.9555,41.1702,736877,1720.92764464083
"Gaziantep",2602315,465905,3068220,2025,"GAZIANTEP","GAZIANTEP",0.151848628846693,36.9472,37.4786,2222415,1380.57923475139
"Adıyaman",385447,2813,388260,2025,"ADIYAMAN","ADIYAMAN",0.00724514500592387,37.7314,38.4689,617821,628.434449460281
"Ağrı Ahmed-i Hani",395285,1126,396411,2025,"AGRI AHMED-I HANI","AGRI",0.00284048626299472,39.6544,43.0258,491489,806.551113046274
"Amasya Merzifon",137465,17489,154954,2025,"AMASYA MERZIFON","AMASYA",0.112865753707552,40.8294,35.5219,342242,452.761496251191
"Aydın Çıldır (*)",0,0,0,2025,"AYDIN CILDIR","AYDIN",NA,37.8153,27.8894,1172107,0
"Balıkesir Koca Seyit",230146,56111,286257,2025,"BALIKESIR KOCA SEYIT","BALIKESIR",0.196016167290232,39.555,27.0142,1284517,222.851857935707
"Balıkesir Merkez",0,0,0,2025,"BALIKESIR MERKEZ","BALIKESIR",NA,39.6186,27.925,1284517,0
"Batman",732771,4530,737301,2025,"BATMAN","BATMAN",0.00614403072829143,37.9286,41.1167,662626,1112.6955477147
"Bingöl",188678,1590,190268,2025,"BINGOL","BINGOL",0.00835663380074421,38.8603,40.5925,282299,673.994594383969
"Bursa Yenişehir",193997,52546,246543,2025,"BURSA YENISEHIR","BURSA",0.213131177928394,40.2553,29.5625,3263011,75.5569012792173
"Çanakkale",187623,4811,192434,2025,"CANAKKALE","CANAKKALE",0.0250007794880323,40.1377,26.4268,573976,335.264889124284
"Çanakkale Gökçeada",0,0,0,2025,"CANAKKALE GOKCEADA","CANAKKALE",NA,40.1994,25.8789,573976,0
