"year","group","share"
2018,"Top 3 airports",0.637460500605601
2018,"Top 5 airports",0.780693963677517
2018,"Top 10 airports",0.880570682792274
2019,"Top 3 airports",0.591481810640821
2019,"Top 5 airports",0.734750368875734
2019,"Top 10 airports",0.880818104795722
2020,"Top 3 airports",0.613515476228109
2020,"Top 5 airports",0.743727796977412
2020,"Top 10 airports",0.851147628398011
2021,"Top 3 airports",0.656206741605578
2021,"Top 5 airports",0.770120339965674
2021,"Top 10 airports",0.872609317402365
2022,"Top 3 airports",0.69511286357667
2022,"Top 5 airports",0.796956965666727
2022,"Top 10 airports",0.894981179286867
2023,"Top 3 airports",0.694928498952491
2023,"Top 5 airports",0.800253061910081
2023,"Top 10 airports",0.894691343026262
2024,"Top 3 airports",0.694829135721629
2024,"Top 5 airports",0.800873334165294
2024,"Top 10 airports",0.886229002788213
2025,"Top 3 airports",0.696668403190319
2025,"Top 5 airports",0.804427178983288
2025,"Top 10 airports",0.894840847120975
