"airport_clean","airport","y2019","y2025","absolute_change","growth_rate"
"ADIYAMAN","Adıyaman",244576,388260,143684,0.587482009682062
"AGRI AHMED-I HANI","Ağrı Ahmed-i Hani",321758,396411,74653,0.232015987170482
"AMASYA MERZIFON","Amasya Merzifon",167758,154954,-12804,-0.0763242289488429
"ANKARA ESENBOGA","Ankara Esenboğa",13740595,13926680,186085,0.0135427177644054
"ANTALYA","Antalya",35679421,39000177,3320756,0.0930720260286735
"BALIKESIR KOCA SEYIT","Balıkesir Koca Seyit",354381,286257,-68124,-0.192233782285168
"BATMAN","Batman",524010,737301,213291,0.407036125264785
"BINGOL","Bingöl",203313,190268,-13045,-0.0641621539203101
"BURSA YENISEHIR","Bursa Yenişehir",268991,246543,-22448,-0.083452606221026
"CANAKKALE","Çanakkale",131240,192434,61194,0.466275525754343
"DENIZLI CARDAK","Denizli Çardak",649782,459061,-190721,-0.293515363614258
"DIYARBAKIR","Diyarbakır",1782236,2292693,510457,0.286413808272305
"ELAZIG","Elazığ",902502,1104710,202208,0.224052689079913
"ERZURUM","Erzurum",990687,1268112,277425,0.280032946833864
"GAZIANTEP","Gaziantep",2524376,3068220,543844,0.215437003045505
"HAKKARI YUKSEKOVA SELAHADDIN EYYUBI","Hakkari Yüksekova Selahaddin Eyyubi",180506,172307,-8199,-0.0454223128317064
"HATAY","Hatay",1213870,506499,-707371,-0.582740326394095
"IGDIR SEHIT BULENT AYDIN","Iğdır Şehit Bülent Aydın",261255,385438,124183,0.475332529520966
"ISPARTA SULEYMAN DEMIREL","Isparta Süleyman Demirel",149637,68639,-80998,-0.541296604449434
"IZMIR ADNAN MENDERES","İzmir Adnan Menderes",12365256,12665660,300404,0.0242941998127657
"KAHRAMANMARAS","Kahramanmaraş",266480,328603,62123,0.233124437105974
"KAPADOKYA","Kapadokya",494085,754489,260404,0.527042917716587
"KARS HARAKANI","Kars Harakani",524656,605172,80516,0.153464365222165
"KASTAMONU","Kastamonu",63095,58979,-4116,-0.0652349631508043
"KAYSERI","Kayseri",2325863,2765751,439888,0.189128938376852
"KOCAELI CENGIZ TOPEL","Kocaeli Cengiz Topel",57280,3746,-53534,-0.934601955307263
"KONYA","Konya",1008803,970227,-38576,-0.0382393787488736
"MALATYA","Malatya",743170,849957,106787,0.143691214661517
"MUGLA DALAMAN","Muğla Dalaman",4905019,5577142,672123,0.137027603766672
"MUGLA MILAS-BODRUM","Muğla Milas-Bodrum",4337733,4357902,20169,0.0046496637759863
"MUS SULTAN ALPARSLAN","Muş Sultan Alparslan",385586,637803,252217,0.654113479223831
"ORDU-GIRESUN","Ordu-Giresun",1060265,1163300,103035,0.0971785355547905
"SAMSUN CARSAMBA","Samsun Çarşamba",1489333,1640095,150762,0.101227865091286
"SANLIURFA GAP","Şanlıurfa Gap",729947,1059953,330006,0.452095837095022
"SIIRT","Siirt",34718,65517,30799,0.887119073679359
"SINOP","Sinop",137181,116483,-20698,-0.150880952901641
"SIRNAK SERAFETTIN ELCI","Şırnak Şerafettin Elçi",365865,421160,55295,0.151134981482241
"SIVAS NURI DEMIRAG","Sivas Nuri Demirağ",491308,502630,11322,0.0230446074560153
"TEKIRDAG CORLU ATATURK","Tekirdağ Çorlu Atatürk",72953,29774,-43179,-0.591874220388469
"TRABZON","Trabzon",3770878,3874640,103762,0.027516668531838
"VAN FERIT MELEN","Van Ferit Melen",1413367,1164400,-248967,-0.176151700159973
