"city","passengers","year","population","passengers_per_1000_people"
"ANTALYA",39000177,2025,2777677,14040.5731119925
"MUGLA",9935044,2025,1099547,9035.57919761502
"ISTANBUL",132921255,2025,15754053,8437.27357017271
"TRABZON",3874640,2025,823323,4706.09955023727
"IZMIR",12665660,2025,4504185,2811.9759734558
"ANKARA",13926680,2025,5910320,2356.33265203915
"KARS",605172,2025,268991,2249.78530880215
"ERZINCAN",460422,2025,239625,1921.42723004695
"KAYSERI",2765751,2025,1458991,1895.6600828929
"IGDIR",385438,2025,205071,1879.53440515724
"ELAZIG",1104710,2025,605678,1823.92294255363
"ERZURUM",1268112,2025,736877,1720.92764464083
